Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
Refund,Checking Account,2024-12-09,2024-12-31,ATM Withdrawal,538.29,11.36,USD,COMPLETED,3236.52
Transfer,Investment Account,2024-03-03,2024-03-24,Monthly Subscription,778.91,41.72,KES,COMPLETED,5544.06
Purchase,Credit Card,2024-07-08,2024-07-16,ATM Withdrawal,780.91,8.24,KES,COMPLETED,1255.07
Purchase,Savings Account,2024-03-19,2024-03-27,Utility Bill Payment,300.07,10.68,JPY,COMPLETED,6057.61
Refund,Investment Account,2024-04-19,2024-05-13,Utility Bill Payment,221.7,36.51,USD,COMPLETED,9187.57
Deposit,Checking Account,2024-07-10,2024-07-23,ATM Withdrawal,651.86,39.73,KES,COMPLETED,6492.88
Withdrawal,Investment Account,2024-01-19,2024-02-09,Utility Bill Payment,920.82,11.55,EUR,COMPLETED,2821.98
Deposit,Checking Account,2024-04-09,2024-04-20,Interest Earned,571.81,45.33,USD,COMPLETED,1126.51
Refund,Credit Card,2024-02-01,2024-02-03,Online Purchase,130.02,32.48,GBP,COMPLETED,2180.64
Refund,Savings Account,2024-04-06,2024-05-04,Interest Earned,554.81,3.44,KES,COMPLETED,698.15
Purchase,Checking Account,2024-11-10,2024-12-04,Monthly Subscription,56.52,29.49,KES,COMPLETED,2562.08
Refund,Credit Card,2024-09-13,2024-09-20,Monthly Subscription,815.1,39.24,USD,COMPLETED,2929.75
Transfer,Savings Account,2024-11-16,2024-12-04,ATM Withdrawal,941.92,31.33,USD,COMPLETED,552.31
Withdrawal,Savings Account,2024-06-10,2024-06-21,ATM Withdrawal,707.03,10.03,GBP,COMPLETED,8876.46
Purchase,Credit Card,2024-06-18,2024-07-03,Online Purchase,27.48,9.66,GBP,COMPLETED,8701.01
Withdrawal,Credit Card,2024-10-27,2024-11-05,Monthly Subscription,315.88,11.2,GBP,COMPLETED,7673.95
Refund,Investment Account,2024-01-26,2024-02-15,Monthly Subscription,793.09,36.1,USD,COMPLETED,3033.57
Refund,Checking Account,2024-07-08,2024-07-24,Utility Bill Payment,56.02,43.23,GBP,COMPLETED,260.93
Deposit,Credit Card,2024-07-09,2024-07-15,Interest Earned,217.53,29.07,KES,COMPLETED,8033.86
Purchase,Checking Account,2024-10-19,2024-10-22,ATM Withdrawal,811.72,6.3,KES,COMPLETED,8033.86
Purchase,Checking Account,2024-06-28,2024-07-24,Interest Earned,88.71,8.86,EUR,COMPLETED,1724.82
Withdrawal,Credit Card,2024-11-25,2024-12-20,Utility Bill Payment,10.49,35.1,GBP,COMPLETED,5145.86
Refund,Checking Account,2024-02-13,2024-03-07,Monthly Subscription,741.86,31.42,JPY,COMPLETED,1574.96
Deposit,Checking Account,2024-03-17,2024-04-08,Monthly Subscription,776.17,18.6,USD,COMPLETED,4424.49
Purchase,Checking Account,2024-06-28,2024-07-01,Monthly Subscription,418.53,35.41,GBP,COMPLETED,4734.47
Transfer,Investment Account,2024-02-12,2024-02-17,Online Purchase,77.33,31.82,GBP,COMPLETED,5580.26
Withdrawal,Credit Card,2024-09-09,2024-09-22,ATM Withdrawal,339.61,15.65,USD,COMPLETED,2364.79
Transfer,Savings Account,2024-02-23,2024-03-13,Interest Earned,979.55,5.52,GBP,COMPLETED,3455.87
Withdrawal,Checking Account,2024-02-13,2024-03-13,Interest Earned,677.67,35.72,EUR,COMPLETED,1115.54
Withdrawal,Credit Card,2024-07-04,2024-08-02,Online Purchase,585.93,3.74,GBP,COMPLETED,7524.15
Transfer,Credit Card,2024-11-28,2024-12-01,Monthly Subscription,34.42,24.92,GBP,COMPLETED,658.43
Refund,Savings Account,2024-02-14,2024-03-08,Monthly Subscription,708.5,44.59,GBP,COMPLETED,8948.32
Refund,Checking Account,2024-01-20,2024-02-04,ATM Withdrawal,185.16,13.88,KES,COMPLETED,9109.79
